cultura	regiao	area	prod	rend
CANA	PRSP	233526	18396561	78777
CANA	PRSP	11728	996880	85000
CANA	PRSP	5500	357500	65000
CANA	PRSP	7500	517500	69000
CANA	PRSP	21000	1743000	83000
CANA	PRSP	3400	340000	100000
CANA	PRSP	8876	843220	95000
CANA	PRSP	5665	481525	85000
CANA	PRSP	10160	711999	70079
CANA	PRSP	8135	654597	80467
CANA	PRSP	14720	1324800	90000
CANA	PRSP	5798	381508	65800
CANA	PRSP	21100	1688000	80000
CANA	PRSP	53500	4088500	76421
CANA	PRSP	2700	243000	90000
CANA	PRSP	9000	657000	73000
CANA	PRSP	26020	1626200	62498
CANA	PRSP	18724	1741332	93000
CANA	PRSP	97990	7309950	74599
CANA	PRSP	5000	400000	80000
CANA	PRSP	2500	162500	65000
CANA	PRSP	7700	654500	85000
CANA	PRSP	2000	130000	65000
CANA	PRSP	1300	117000	90000
CANA	PRSP	13500	972000	72000
CANA	PRSP	3300	310200	94000
CANA	PRSP	6450	548250	85000
CANA	PRSP	16000	1072000	67000
CANA	PRSP	3500	280000	80000
CANA	PRSP	3630	290400	80000
CANA	PRSP	1000	84000	84000
CANA	PRSP	23000	1610000	70000
CANA	PRSP	7500	540000	72000
CANA	PRSP	700	63000	90000
CANA	PRSP	550	47300	86000
CANA	PRSP	360	28800	80000
CANA	PRSP	60881	5052530	82990
CANA	PRSP	4280	329600	77009
CANA	PRSP	500	40000	80000
CANA	PRSP	2500	200000	80000
CANA	PRSP	100	7000	70000
CANA	PRSP	30	2100	70000
CANA	PRSP	150	10500	70000
CANA	PRSP	1000	70000	70000
CANA	PRSP	11270	911600	80887
CANA	PRSP	970	77600	80000
CANA	PRSP	400	34000	85000
CANA	PRSP	1600	136000	85000
CANA	PRSP	1000	80000	80000
CANA	PRSP	7300	584000	80000
CANA	PRSP	45229	3804910	84125
CANA	PRSP	6000	480000	80000
CANA	PRSP	5302	477180	90000
CANA	PRSP	13200	1056000	80000
CANA	PRSP	4000	400000	100000
CANA	PRSP	235	21150	90000
CANA	PRSP	5115	460350	90000
CANA	PRSP	11370	909600	80000
CANA	PRSP	7	630	90000
CANA	PRSP	102	6420	62941
CANA	PRSP	15	300	20000
CANA	PRSP	12	720	60000
CANA	PRSP	15	900	60000
CANA	PRSP	60	4500	75000
CANA	PRSP	19696	1561120	79261
CANA	PRSP	19287	1535500	79613
CANA	PRSP	10	1000	100000
CANA	PRSP	500	40000	80000
CANA	PRSP	5	300	60000
CANA	PRSP	500	45000	90000
CANA	PRSP	1800	142200	79000
CANA	PRSP	14700	1161300	79000
CANA	PRSP	1500	118500	79000
CANA	PRSP	30	3000	100000
CANA	PRSP	242	24200	100000
CANA	PRSP	26	1390	53462
CANA	PRSP	8	400	50000
CANA	PRSP	18	990	55000
CANA	PRSP	383	24230	63264
CANA	PRSP	50	3500	70000
CANA	PRSP	80	6400	80000
CANA	PRSP	150	7500	50000
CANA	PRSP	20	1300	65000
CANA	PRSP	3	180	60000
CANA	PRSP	30	2850	95000
CANA	PRSP	50	2500	50000
CANA	PRSP	2515	270832	107687
CANA	PRSP	2050	241150	117634
CANA	PRSP	2000	240000	120000
CANA	PRSP	8	400	50000
CANA	PRSP	3	150	50000
CANA	PRSP	39	600	15385
CANA	PRSP	197	12867	65315
CANA	PRSP	150	9900	66000
CANA	PRSP	25	1625	65000
CANA	PRSP	22	1342	61000
CANA	PRSP	243	15425	63477
CANA	PRSP	59	3835	65000
CANA	PRSP	30	1800	60000
CANA	PRSP	100	6500	65000
CANA	PRSP	44	2640	60000
CANA	PRSP	10	650	65000
CANA	PRSP	25	1390	55600
CANA	PRSP	10	490	49000
CANA	PRSP	15	900	60000
CANA	PRSP	34	1015	29853
CANA	PRSP	34	1015	29853
CANA	PRSP	5	100	20000
CANA	PRSP	3	60	20000
CANA	PRSP	5	50	10000
CANA	PRSP	1	20	20000
CANA	PRSP	5	250	50000
CANA	PRSP	13	455	35000
CANA	PRSP	2	80	40000
CANA	PRSP	31	1202	38774
CANA	PRSP	1	2	2000
CANA	PRSP	1	2	2000
CANA	PRSP	10	200	20000
CANA	PRSP	10	200	20000
CANA	PRSP	20	1000	50000
CANA	PRSP	20	1000	50000
CANA	PRSP	157031	9333267	59436
CANA	PRSP	3337	182497	54689
CANA	PRSP	7499	471259	62843
CANA	PRSP	8263	408531	49441
CANA	PRSP	1307	98439	75317
CANA	PRSP	11708	662056	56547
CANA	PRSP	6708	322464	48072
CANA	PRSP	2714	189669	69885
CANA	PRSP	2646	200132	75636
CANA	PRSP	6233	351508	56395
CANA	PRSP	2971	203921	68637
CANA	PRSP	9043	609244	67372
CANA	PRSP	3422	206609	60377
CANA	PRSP	5903	390691	66185
CANA	PRSP	7482	519236	69398
CANA	PRSP	17996	1017985	56567
CANA	PRSP	5402	307082	56846
CANA	PRSP	16979	780518	45970
CANA	PRSP	2232	113248	50738
CANA	PRSP	717	46266	64527
CANA	PRSP	3962	231852	58519
CANA	PRSP	1651	64993	39366
CANA	PRSP	9426	752899	79875
CANA	PRSP	3349	163547	48835
CANA	PRSP	379	24004	63335
CANA	PRSP	4797	337793	70418
CANA	PRSP	10905	676824	62065
CANA	PRSP	72378	3769771	52084
CANA	PRSP	300	17566	58553
CANA	PRSP	16662	881798	52923
CANA	PRSP	4690	220373	46988
CANA	PRSP	8721	444015	50913
CANA	PRSP	11798	560226	47485
CANA	PRSP	2075	103802	50025
